host,S_ctx,severity_mean,severity_max,n_pairs,cmdline_novelty
l1-eng-067,0.5903055954088953,0.8010186513629842,0.9,3,1.0
l2-eng-win10-4,0.915837625792378,0.7746053333333334,1.0,23,0.8897068386158545
l3-eng-win7-1,0.9059591267903369,0.806479217603912,1.0,15,0.9987655590640099
l3-eng-win7-2,0.9103970002755317,0.7851815656825429,1.0,16,0.9987931661033596
l4-distrib-1,0.8814669167990477,0.8044467306812986,0.9,3,0.6008859839643866
l4-distrib-2,0.9013237475718248,0.7898275957137868,1.0,23,0.7625031257179256
l4-energy-mgt-2,0.9017087946558464,0.7906074907925523,1.0,24,0.7635103161205389
l4-maint-1,0.9017594409309684,0.7905388721383065,1.0,24,0.763985195263177
l4-maint-2,0.9017349556925085,0.7908697841570241,1.0,29,0.7631601363026754
l4-pipe-ctrl-1,0.9016296529799108,0.7905478130399533,1.0,24,0.7631020604528322
l4-pipe-ctrl-2,0.9015574961735412,0.7904599628038693,1.0,24,0.7627967155492036
l4-prod-sched-1,0.901589454881984,0.7903151720206681,1.0,24,0.7632993551718906
l4-prod-sched-2,0.902081428632724,0.7910070595591229,1.0,24,0.7651954050999143
l4-safety-1,0.9016976612509939,0.7905380608608243,1.0,24,0.7635749532849774
l4-safety-2,0.9014928122622307,0.7904524730993638,1.0,24,0.7623804688828106
l5-compl-1,0.9037004359987325,0.7900164755955241,1.0,24,0.7779699554671688
l5-compl-2,0.903851579310788,0.7903584255184987,1.0,24,0.7782936777015896
l5-cust-svc-1,0.9037191421240693,0.7901952226968293,1.0,24,0.7777371687668035
l5-cust-svc-2,0.9036680180687932,0.7901145428583197,1.0,24,0.777557701408649
l5-dc,0.9273001386712608,0.779557,1.0,26,0.9562202578150807
l5-dns,0.890153103478317,0.7528801002492461,1.0,22,0.7619271560236206
l5-hr-1,0.9032013613171296,0.7896333860007555,1.0,23,0.7754089701126866
l5-hr-2,0.9035334048664382,0.789956696971891,1.0,23,0.7769759718324736
l5-mail,0.9333995386775679,0.7893353333333334,1.0,27,0.9773262578504521
l5-smtp,0.9245623539370772,0.8114289973707749,1.0,26,0.8742243648389646
l5-sup-chain-1,0.9033189587618407,0.7894575088386853,1.0,24,0.7765447074015669
l5-sup-chain-2,0.9028330009084213,0.7896254020500283,1.0,29,0.7729692019560864
unknown,0.5444273907910272,0.6480913026367573,0.9,2,1.0
