host,role_id,S_seq,rare_transition_hits,n_events,S_seq_z,S_seq_pvalue,S_seq_percentile
l1-eng-067,ics,0.11458683522709259,2,2143,161.273,0.0,100.0
l2-eng-win10-4,ics,0.08978012096761645,10,299967,1350.441,0.0,100.0
l3-eng-win7-1,ics,0.13188244412095695,3,3588,2019.118,0.0,100.0
l3-eng-win7-2,ics,0.10383988257172198,4,6798,1573.741,0.0,100.0
l4-distrib-1,ics,0.0931393702873052,4,85617,1403.793,0.0,100.0
l4-distrib-2,ics,0.0025413899369853424,19,261641,-35.102,1.0,0.0
l4-energy-mgt-2,ics,0.002736095994868896,19,263534,-32.01,1.0,0.0
l4-maint-1,ics,0.002877550979830452,19,262602,-29.763,1.0,0.0
l4-maint-2,ics,0.003610674914963635,19,265396,-18.119,1.0,0.0
l4-pipe-ctrl-1,ics,0.00283266877059711,19,262159,-30.476,1.0,0.0
l4-pipe-ctrl-2,ics,0.00282244332998395,19,262276,-30.638,1.0,0.0
l4-prod-sched-1,ics,0.0028373077692501426,19,261458,-30.402,1.0,0.0
l4-prod-sched-2,ics,0.002836253667143128,19,264744,-30.419,1.0,0.0
l4-safety-1,ics,0.00259989661082846,19,263087,-34.173,1.0,0.0
l4-safety-2,ics,0.0028848756206342387,19,262410,-29.647,1.0,0.0
l5-compl-1,ics,0.0031602144045408064,19,280827,-25.274,1.0,0.0
l5-compl-2,ics,0.0030742401824754365,19,281290,-26.639,1.0,0.0
l5-cust-svc-1,ics,0.0026528516734378046,19,280551,-33.332,1.0,0.0
l5-cust-svc-2,ics,0.0030988409242579166,19,280750,-26.248,1.0,0.0
l5-dc,dc,0.0002196692678790979,1,256134,5.766,0.0,100.0
l5-dns,dns,0.00011554808491662619,1,58891,-5.43,1.0,0.0
l5-hr-1,ics,0.003816595752635911,18,235524,-14.849,1.0,0.0
l5-hr-2,ics,0.0027529255937985843,19,279334,-31.742,1.0,0.0
l5-mail,mail,0.03415531202081211,3,224825,2332.613,0.0,100.0
l5-smtp,mail,0.036433503118578695,3,55740,2488.967,0.0,100.0
l5-sup-chain-1,ics,0.004084276299247184,18,248999,-10.597,1.0,0.0
l5-sup-chain-2,ics,0.0030568623447811433,19,282412,-26.915,1.0,0.0
unknown,workstation,1.2573841836983335e-06,0,1303,-0.741,0.915,8.5
